timestamp,test-class,test-method,time,description,result
2021-06-08 16:58:44.195,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,13315,"[1] recordIndex=6, author=12345, text=12345, info=null, atributo1=01/12/2077, atributo2=2020/01/01 10:00, atributo3=EUR 100.00, atributo4=true",OK
2021-06-08 16:58:56.874,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,12192,"[2] recordIndex=7, author=123456, text=123456, info=http://www.example1.org, atributo1=03/03/2011, atributo2=2020/01/08 19:03, atributo3=USD 12.09, atributo4=false",OK
2021-06-08 16:59:05.377,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,7392,"[3] recordIndex=8, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, atributo1=01/06/2021, atributo2=2020/04/08 19:03, atributo3=USD 56.99, atributo4=false",Expected value '1234567890123456789012345' in attribute 1 of record 8, but found 'Funes'
2021-06-08 16:59:14.334,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,8374,"[4] recordIndex=9, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, atributo1=01/06/2221, atributo2=2020/10/08 19:03, atributo3=EUR 156.99, atributo4=true",Expected value '123456789012345678901234' in attribute 1 of record 9, but found '1234567890123456789012345'
