timestamp;simple-path;time;;time;
2021-06-08 18:25:46.634;/anonymous/shout/create;529;;;
2021-06-08 18:25:53.962;/anonymous/shout/create;538;;Media;536,89
2021-06-08 18:25:58.28;/anonymous/shout/create;552;;Error típico;35,82
2021-06-08 18:26:06.969;/anonymous/shout/create;536;;Mediana;535,00
2021-06-08 18:26:14.91;/anonymous/shout/create;544;;Moda;181,00
2021-06-08 18:26:16.045;/anonymous/shout/create;564;;Desviación estándar;350,98
2021-06-08 18:26:17.262;/anonymous/shout/create;531;;Varianza de la muestra;123.184,92
2021-06-08 18:26:18.743;/anonymous/shout/create;554;;Curtosis;4,13
2021-06-08 18:26:19.993;/anonymous/shout/create;537;;Coeficiente de asimetría;1,72
2021-06-08 18:26:21.347;/anonymous/shout/create;564;;Rango;1.927,00
2021-06-08 18:26:22.443;/anonymous/shout/create;538;;Mínimo;173,00
2021-06-08 18:26:23.656;/anonymous/shout/create;562;;Máximo;2.100,00
2021-06-08 18:26:24.768;/anonymous/shout/create;531;;Suma;51.541,00
2021-06-08 18:26:25.953;/anonymous/shout/create;559;;Cuenta;96,00
2021-06-08 18:26:27.198;/anonymous/shout/create;534;;Nivel de confianza(95,0%);71,11
2021-06-08 18:26:28.563;/anonymous/shout/create;550;;;
2021-06-08 18:26:29.604;/anonymous/shout/create;537;;;
2021-06-08 18:26:30.815;/anonymous/shout/create;563;;;
2021-06-08 18:26:32.133;/anonymous/shout/create;629;;;
2021-06-08 18:26:33.37;/anonymous/shout/create;550;;;
2021-06-08 18:26:34.42;/anonymous/shout/create;536;;;
2021-06-08 18:26:35.938;/anonymous/shout/create;573;;;
2021-06-08 18:26:37.277;/anonymous/shout/create;534;;;
2021-06-08 18:26:38.794;/anonymous/shout/create;561;;;
2021-06-08 18:26:39.972;/anonymous/shout/create;534;;;
2021-06-08 18:26:42.068;/anonymous/shout/create;1104;;;
2021-06-08 18:26:43.44;/anonymous/shout/create;532;;;
2021-06-08 18:26:45.466;/anonymous/shout/create;1069;;;
2021-06-08 18:26:46.6;/anonymous/shout/create;554;;;
2021-06-08 18:26:48.638;/anonymous/shout/create;1084;;;
2021-06-08 18:24:32.587;/anonymous/shout/list;543;;;
2021-06-08 18:24:39.025;/anonymous/shout/list;1091;;;
2021-06-08 18:24:46.007;/anonymous/shout/list;1099;;;
2021-06-08 18:24:52.685;/anonymous/shout/list;1090;;;
2021-06-08 18:24:59.262;/anonymous/shout/list;1086;;;
2021-06-08 18:25:05.945;/anonymous/shout/list;1162;;;
2021-06-08 18:25:50.545;/anonymous/shout/list;532;;;
2021-06-08 18:25:56.097;/anonymous/shout/list;532;;;
2021-06-08 18:26:01.779;/anonymous/shout/list;546;;;
2021-06-08 18:26:09.971;/anonymous/shout/list;616;;;
2021-06-08 18:24:14.264;/master/sign-in;1109;;;
2021-06-08 18:25:29.325;/master/sign-in;646;;;
2021-06-08 18:24:12.63;/master/welcome;362;;;
2021-06-08 18:24:13.046;/master/welcome;312;;;
2021-06-08 18:24:16.139;/master/welcome;1101;;;
2021-06-08 18:24:30.451;/master/welcome;708;;;
2021-06-08 18:24:31.085;/master/welcome;560;;;
2021-06-08 18:24:31.937;/master/welcome;615;;;
2021-06-08 18:24:37.738;/master/welcome;590;;;
2021-06-08 18:24:44.615;/master/welcome;815;;;
2021-06-08 18:24:51.41;/master/welcome;666;;;
2021-06-08 18:24:58.073;/master/welcome;587;;;
2021-06-08 18:25:04.587;/master/welcome;693;;;
2021-06-08 18:25:28.228;/master/welcome;379;;;
2021-06-08 18:25:28.616;/master/welcome;239;;;
2021-06-08 18:25:30.349;/master/welcome;542;;;
2021-06-08 18:25:44.772;/master/welcome;239;;;
2021-06-08 18:25:45.372;/master/welcome;543;;;
2021-06-08 18:25:45.833;/master/welcome;389;;;
2021-06-08 18:25:46.034;/master/welcome;187;;;
2021-06-08 18:25:49.834;/master/welcome;1556;;;
2021-06-08 18:25:53.106;/master/welcome;308;;;
2021-06-08 18:25:53.304;/master/welcome;181;;;
2021-06-08 18:25:55.459;/master/welcome;1049;;;
2021-06-08 18:25:57.46;/master/welcome;299;;;
2021-06-08 18:25:57.657;/master/welcome;186;;;
2021-06-08 18:26:01.033;/master/welcome;2100;;;
2021-06-08 18:26:06.14;/master/welcome;295;;;
2021-06-08 18:26:06.334;/master/welcome;180;;;
2021-06-08 18:26:09.175;/master/welcome;1598;;;
2021-06-08 18:26:14.099;/master/welcome;240;;;
2021-06-08 18:26:14.29;/master/welcome;181;;;
2021-06-08 18:26:16.453;/master/welcome;289;;;
2021-06-08 18:26:16.647;/master/welcome;183;;;
2021-06-08 18:26:19.119;/master/welcome;292;;;
2021-06-08 18:26:19.352;/master/welcome;202;;;
2021-06-08 18:26:21.625;/master/welcome;203;;;
2021-06-08 18:26:21.823;/master/welcome;183;;;
2021-06-08 18:26:23.98;/master/welcome;230;;;
2021-06-08 18:26:24.165;/master/welcome;173;;;
2021-06-08 18:26:26.389;/master/welcome;363;;;
2021-06-08 18:26:26.591;/master/welcome;188;;;
2021-06-08 18:26:28.794;/master/welcome;189;;;
2021-06-08 18:26:28.987;/master/welcome;182;;;
2021-06-08 18:26:31.225;/master/welcome;340;;;
2021-06-08 18:26:31.427;/master/welcome;190;;;
2021-06-08 18:26:33.597;/master/welcome;181;;;
2021-06-08 18:26:33.8;/master/welcome;179;;;
2021-06-08 18:26:36.43;/master/welcome;426;;;
2021-06-08 18:26:36.663;/master/welcome;220;;;
2021-06-08 18:26:39.171;/master/welcome;323;;;
2021-06-08 18:26:39.361;/master/welcome;181;;;
2021-06-08 18:26:42.637;/master/welcome;376;;;
2021-06-08 18:26:42.833;/master/welcome;182;;;
2021-06-08 18:26:45.786;/master/welcome;253;;;
2021-06-08 18:26:45.974;/master/welcome;178;;;
