timestamp,test-class,test-method,time,description,result
2021-09-04 10:46:41.202,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,7166,"[1] recordIndex=7, author=12345, text=1, info=null, xxx1=AWA/, xxx2=null, xxx3=EUR 0.00, xxx4=true",OK
2021-09-04 10:46:46.711,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,5294,"[2] recordIndex=8, author=123456, text=12, info=http://www.example1.org, xxx1=EWE/, xxx2=null, xxx3=USD 15.00, xxx4=false",OK
2021-09-04 10:46:54.541,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,7630,"[3] recordIndex=9, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, xxx1=OWO/, xxx2=null, xxx3=USD 0.50, xxx4=false",OK
2021-09-04 10:47:02.576,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,7830,"[4] recordIndex=10, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, xxx1=UWU/, xxx2=null, xxx3=GBP 20.00, xxx4=true",OK
