timestamp,test-class,test-method,time,description,result
2021-09-07 14:00:52.306,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,5767,"[1] recordIndex=8, author=12345, text=12345, info=null, pattern=AA, moment=null, money=USD 0.00, important=true",OK
2021-09-07 14:00:59.228,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,6318,"[2] recordIndex=9, author=123456, text=123456, info=http://www.example1.org, pattern=AAAA, moment=null, money=EUR 0.00, important=false",OK
2021-09-07 14:01:03.026,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,3327,"[3] recordIndex=10, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, pattern=B2er, moment=null, money=GBP 0.99, important=true",The system doesn't navigate from '/anonymous/shout/create' to '/master/welcome'
2021-09-07 14:01:08.878,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,5284,"[4] recordIndex=11, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, pattern=oG, moment=null, money=USD 999.99, important=false",Record index 11 is out of range
