timestamp,test-class,test-method,time,description,result
2021-09-04 10:25:11.892,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,3316,"[1] recordIndex=7, author=12345, text=1, info=null, xxx1=AWA/, xxx2=null, xxx3=EUR 0.00, xxx4=true",The system doesn't navigate from '/anonymous/shout/create' to '/master/welcome'
2021-09-04 10:25:14.605,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,2511,"[2] recordIndex=8, author=123456, text=12, info=http://www.example1.org, xxx1=EWE/, xxx2=null, xxx3=USD 15.00, xxx4=false",The system doesn't navigate from '/anonymous/shout/create' to '/master/welcome'
2021-09-04 10:25:17.352,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,2543,"[3] recordIndex=9, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, xxx1=OWO/, xxx2=null, xxx3=USD 0.50, xxx4=false",The system doesn't navigate from '/anonymous/shout/create' to '/master/welcome'
2021-09-04 10:25:20.282,acme.testing.anonymous.shouts.AnonymousShoutsCreateTest,create,2741,"[4] recordIndex=10, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, xxx1=UWU/, xxx2=null, xxx3=GBP 20.00, xxx4=true",The system doesn't navigate from '/anonymous/shout/create' to '/master/welcome'
