timestamp,test-class,test-method,time,description,result
2021-07-28 14:25:45.615,acme.testing.controCheck.AdministratorDashboardShowTest,showPositive,4797,"[1] ratio1=1.00, ratio2=0.00, averageSheetsEUR=550.00, averageSheetsUSD=650.00, averageSheetsGBP=850.00, deviationSheetsEUR=150.00, deviationSheetsUSD=217.94, deviationSheetsGBP=50.00, nPrivateTask=3, nPublicTask=15, nFinishedTask=9, nNotFinishedTask=9, averageTaskExecutionPeriods=525.22, deviationTaskExecutionPeriods=927.62, minimumTaskExecutionPeriods=0, maximumTaskExecutionPeriods=4029, averageTaskWorkloads=25.05, deviationTaskWorkloads=32.08, minimumTaskWorkloads=0.10, maximumTaskWorkloads=90.45",OK
2021-07-28 14:25:58.907,acme.testing.controCheck.AnonymousShoutsCreateTest,create,4958,"[1] recordIndex=7, author=12345, text=12345, info=null, keylem=123456:0721:28, deadline=2021/09/24 11:11, budget=EUR 100.00, important=true",OK
2021-07-28 14:26:03.889,acme.testing.controCheck.AnonymousShoutsCreateTest,create,4773,"[2] recordIndex=8, author=123456, text=123456, info=http://www.example1.org, keylem=123457:0721:28, deadline=2021/09/24 11:11, budget=EUR 9,999,999,999.99, important=false",OK
2021-07-28 14:26:11.39,acme.testing.controCheck.AnonymousShoutsCreateTest,create,7293,"[3] recordIndex=9, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, keylem=123458:0721:28, deadline=2021/09/24 11:11, budget=EUR 100.00, important=true",OK
2021-07-28 14:26:18.879,acme.testing.controCheck.AnonymousShoutsCreateTest,create,7295,"[4] recordIndex=10, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, keylem=123459:0721:28, deadline=2021/09/24 11:11, budget=USD 100.00, important=true",OK
2021-07-28 14:26:25.597,acme.testing.controCheck.AnonymousShoutsCreateTest,create,6508,"[5] recordIndex=11, author=12345678, text=12345678, info=null, keylem=123460:0721:28, deadline=2021/08/04 19:11, budget=GBP 100.00, important=false",OK
2021-07-28 14:26:32.609,acme.testing.controCheck.AnonymousShoutsCreateTest,create,6803,"[6] recordIndex=12, author=12345678, text=12345678, info=null, keylem=123461:0721:28, deadline=2021/09/24 11:11, budget=EUR 0.00, important=true",OK
2021-07-28 14:26:39.343,acme.testing.controCheck.AnonymousShoutsCreateTest,create,6524,"[7] recordIndex=13, author=12345678, text=12345678, info=null, keylem=123462:0721:28, deadline=2021/09/24 11:11, budget=EUR 0.01, important=false",OK
2021-07-28 14:26:41.966,acme.testing.controCheck.AnonymousShoutsCreateTest,createNegative,2412,"[1] author=, text=null, info=null, keylem=null, deadline=null, budget=null, important=false",OK
2021-07-28 14:26:44.918,acme.testing.controCheck.AnonymousShoutsCreateTest,createNegative,2751,"[2] author=12345678901234567890123456, text=John Doe hard core, info=null, keylem=123440:0721:28, deadline=2021/09/24 11:11, budget=EUR 100.00, important=true",OK
2021-07-28 14:26:47.903,acme.testing.controCheck.AnonymousShoutsCreateTest,createNegative,2784,"[3] author=1234, text=12345, info=null, keylem=123440:0721:28, deadline=2021/09/24 11:11, budget=EUR 100.00, important=true",OK
