timestamp,test-class,test-method,time,description,result
2021-09-07 13:58:49.843,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,6732,"[1] recordIndex=8, author=12345, text=12345, info=null, pattern=AA, moment=null, money=USD 0.00, important=true",OK
2021-09-07 13:58:56.636,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,6322,"[2] recordIndex=9, author=123456, text=123456, info=http://www.example1.org, pattern=AAAA, moment=null, money=EUR 0.00, important=false",OK
2021-09-07 13:59:02.574,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,5484,"[3] recordIndex=10, author=1234567890123456789012345, text=1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890, info=https://www.google.es, pattern=B2er, moment=null, money=GBP 0.99, important=true",OK
2021-09-07 13:59:10.943,acme.testing.examen.shouts.AnonymousShoutsCreateTest,create,7905,"[4] recordIndex=11, author=123456789012345678901234, text=123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789, info=null, pattern=oG, moment=null, money=USD 999.99, important=false",OK
